Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aaron	Richard		D	MI04	2025	3/24/2025	40003749
	Abrevaya	David		W	IL09	2025	5/19/2025	8005
	Abughazaleh	Katherine M.		C	IL09	2025	5/14/2025	10065677
	Adams	Jared		W	MN07	2025	6/3/2025	8011
	Adeimy	Deborah		X	FL22	2025	5/22/2025	30023997
Hon.	Aderholt	Robert B.		P	AL04	2025	9/10/2025	20032062
	Ager	Jamie		X	NC11	2025	9/3/2025	30025402
	Aisen	Joshua		W	VA11	2025	6/24/2025	8013
	Al-Aqidi	Dalia		X	MN05	2025	5/22/2025	30023906
	Albright	Joe		C	IL16	2025	5/15/2025	10068916
	Albright	Joe		X	IL16	2025	5/22/2025	30023834
	Aleman	Katherine		X	CA41	2025	8/25/2025	30025377
	Alexander	Timothy C.		C	NJ02	2025	8/26/2025	10072310
	Allen	Keith		C	TX34	2025	6/9/2025	10070478
	Allen	Mary Theresa		X	IN08	2025	9/3/2025	30025405
Hon.	Allen	Richard W.		P	GA12	2025	1/16/2025	20026537
Hon.	Allen	Richard W.		P	GA12	2025	2/20/2025	20026727
Hon.	Allen	Richard W.		P	GA12	2025	3/12/2025	20027927
Hon.	Allen	Richard W.		P	GA12	2025	5/15/2025	20030316
Hon.	Allen	Richard W.		P	GA12	2025	6/18/2025	20030502
Hon.	Allen	Richard W.		P	GA12	2025	7/15/2025	20030608
Hon.	Allen	Richard W.		P	GA12	2025	8/11/2025	20030850
Hon.	Allen	Richard W.		P	GA12	2025	9/12/2025	20032052
	Allen-Lott	Robert S.		C	GA08	2025	7/22/2025	10071865
Hon.	Allred	Colin		T	TX32	2025	5/2/2025	10063338
Hon.	Allred	Colin		X	TX32	2025	1/31/2025	30022490
	Alonzo	Edwin		C	CA23	2025	5/18/2025	10070230
	Alvarado	Ralph A.		X	KY06	2025	8/5/2025	30025344
	Amador	Jaliel		D	NY13	2025	9/17/2025	40004844
	Amiwala	Bushra		A	IL09	2025	8/5/2025	10071993
	Amiwala	Bushra		C	IL09	2025	7/31/2025	10071647
	Amiwala	Bushra		X	IL09	2025	6/30/2025	30025228
Mr.	Amyx	William Kory		C	IN05	2025	5/22/2025	10070287
Mr.	Amyx	William Kory		D	IN05	2025	5/27/2025	40004782
	Anastos	Emanuel		C	MN08	2025	6/17/2025	10071587
	Andres-Beck	Beth		X	MA06	2025	8/1/2025	30025334
	Andrew	Philip Jerome		X	IL09	2025	7/15/2025	8221186
	Antropov	Jayden		D	FL22	2025	5/19/2025	40004777
	Anzoli	Armando Luciano		C	RI02	2025	2/5/2025	10063361
	Aranda	Miguel		D	WI01	2025	9/17/2025	40004843
	Arellano	Julian		C	CA49	2025	3/4/2025	10063461
Mrs.	Armitage	Casey		D	MI10	2025	8/1/2025	40004803
	Atwell	Daltson Theodore		D	MI09	2025	8/1/2025	40004802
	Atwell	Daltson Theodore		X	MI09	2025	8/21/2025	30025371
Hon.	Auchincloss	Jake		P	MA04	2025	2/21/2025	20027810
Hon.	Auchincloss	Jake		P	MA04	2025	5/22/2025	20030397
Hon.	Auchincloss	Jake		P	MA04	2025	8/27/2025	20030976
	Ayers	Austin Jay		C	NC03	2025	9/17/2025	10071661
	Ayers	Austin Jay		X	NC03	2025	6/30/2025	30025233
Mr.	Ayouaz	Ismaine		D	PA04	2025	5/19/2025	40004776
	Baca-Oehlert	Amie		X	CO08	2025	6/30/2025	30025227
Dr.	Baez	Edgardo Rafael		C	TX20	2025	7/18/2025	10071821
	Bains	Jasmeet		X	CA22	2025	8/12/2025	30025357
	Baker	Ms Tj		C	TX18	2025	5/29/2025	10070369
Mr.	Baker	Samuel Goodman		W		2025		8221151
	Bankole	Yasmeen		C	IL08	2025	7/13/2025	10070515
	Bankole	Yasmeen		X	IL08	2025	6/18/2025	30024179
	Banks	Ashley		D	IL02	2025	9/2/2025	9115632
	Banks	Ashley		X	IL02	2025	9/3/2025	30025394
Hon.	Banks	James E Hon		E	IN03	2025	1/7/2025	8220720
	Barfield	Jillian		D	AZ08	2025	7/7/2025	40004790
	Barkley	Michael James Mr		C	CA05	2025	5/15/2025	10069133
	Barnes	Thomas Gary		C	AL04	2025	9/28/2025	10072479
	Barnes	Thomas Gary		D	AL04	2025	9/17/2025	40004827
	Barr	Callie		C	MI01	2025	8/13/2025	10072188
	Barrett	Joseph Michael		C	TN07	2025	9/6/2025	10072375
	Barringer	Paul		C	NC13	2025	6/21/2025	10071607
	Barringer	Paul		X	NC13	2025	6/26/2025	30025218
	Beebe	Eric J.		C	IN02	2025	7/1/2025	10071688
Mr.	Beers	Robert Lee	III	C	SC01	2025	7/5/2025	10071719
	Behn	Aftyn		C	TN07	2025	9/9/2025	10072399
	Benami	Dory		C	CA32	2025	9/20/2025	10072515
	Benjamin	Laura S.		C	WI03	2025	5/15/2025	10068011
	Bennett	Candice		W	VA11	2025	8/1/2025	8022
	Bennett	Candice		X	VA11	2025	6/4/2025	30024017
	Bennett	Christopher Jerman		C	CA06	2025	5/12/2025	10068081
	Bennett	Rebecca		A	NJ07	2025	7/23/2025	10071624
	Bennett	Rebecca		C	NJ07	2025	6/4/2025	10063587
	Bennett	Rebecca		X	NJ07	2025	3/10/2025	8220784
Hon.	Bentz	Cliff		P	OR02	2025	7/9/2025	20030646
	Berge	Emily		C	WI03	2025	7/7/2025	10071673
	Bergmann	Charlotte		C	TN09	2025	8/6/2025	10072012
	Beriont	Carleigh		C	NH01	2025	7/3/2025	10071702
	Berman	Mitchell		X	WI01	2025	9/8/2025	30025408
Dr.	Berry	Allen D.		C	TX18	2025	5/17/2025	10069231
	Bettles	Cole		D	CA11	2025	7/7/2025	40004791
	Betts	Daniel		C	TX21	2025	9/26/2025	10072562
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2025	1/6/2025	20026517
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2025	3/8/2025	20027932
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2025	5/2/2025	20030262
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2025	8/2/2025	20030746
	Bhatti	Ata-Ul-Salaam		C	VA01	2025	9/4/2025	10072293
	Bickelhaupt	Julie		X	IL17	2025	9/16/2025	30025417
Hon.	Bilirakis	Gus M.		P	FL12	2025	2/6/2025	8220747
	Binkley	Ryan		X	TX32	2025	9/3/2025	30025391
	Bird	Shannon Kathleen		C	CO08	2025	9/17/2025	10070427
	Bird	Shannon Kathleen		X	CO08	2025	6/12/2025	30024023
Hon.	Bishop	Dan Daniel		T	NC08	2025	1/17/2025	10063263
	Biss	Daniel		C	IL09	2025	9/12/2025	10070374
	Biss	Daniel		X	IL09	2025	6/4/2025	30024011
	Blaha	Dylan Thomas		C	IL13	2025	5/15/2025	10069116
	Blair	Beau		C	NC06	2025	7/8/2025	10071731
	Blair	Everton		C	GA13	2025	8/30/2025	10070272
	Blair	Everton		X	GA13	2025	6/4/2025	30024015
	Blalock	Clarence		C	GA14	2025	2/28/2025	10063440
	Bledsoe	Bill		C	SC05	2025	8/22/2025	10072279
	Blomquist	Kyle		C	MI01	2025	9/2/2025	10072358
Hon.	Blumenauer	Earl		T	OR03	2025	1/29/2025	10063241
